Branch,lon,lat
Raleigh,-78.61514,35.80457
Sandhills,-79.415321,35.158241
Wilmington,-77.9298,34.22068
New Bern,-77.07439,35.13526
Greenville,-77.44058,35.57082
Durham,-78.872392,35.97743
